# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 258K of event 'cycles:P'
# Event count (approx.): 252527269824
#
# Overhead  Command  Shared Object         Symbol                                                                                                                                                                               
# ........  .......  ....................  .....................................................................................................................................................................................
#
     0.05%  a.out    [kernel.kallsyms]     [k] 0xffffffff94f7fa35
     0.05%  a.out    [kernel.kallsyms]     [k] 0xffffffff95191eb5
     0.05%  a.out    [kernel.kallsyms]     [k] 0xffffffff9500309d
     0.05%  a.out    [kernel.kallsyms]     [k] 0xffffffff94f8da2d
     0.05%  a.out    [kernel.kallsyms]     [k] 0xffffffff94ebfd9a
     0.05%  a.out    [kernel.kallsyms]     [k] 0xffffffff9601f56b
     0.05%  a.out    [kernel.kallsyms]     [k] 0xffffffff95f7b7ba
     0.05%  a.out    [kernel.kallsyms]     [k] 0xffffffff94f87a74
     0.05%  a.out    [kernel.kallsyms]     [k] 0xffffffff94f635e4
     0.05%  a.out    [kernel.kallsyms]     [k] 0xffffffff96016760
     0.05%  a.out    [kernel.kallsyms]     [k] 0xffffffff94e6a63a
     0.05%  a.out    [kernel.kallsyms]     [k] 0xffffffff94f879c6
     0.05%  a.out    [kernel.kallsyms]     [k] 0xffffffff95005ba5
     0.05%  a.out    [kernel.kallsyms]     [k] 0xffffffff94f87a61
     0.05%  a.out    [kernel.kallsyms]     [k] 0xffffffff94ea8156
     0.05%  a.out    [kernel.kallsyms]     [k] 0xffffffff94f87a64
     0.05%  a.out    libc.so.6             [.] __GI___pthread_disable_asynccancel
     0.05%  a.out    [kernel.kallsyms]     [k] 0xffffffff95f7b839
     0.05%  a.out    [kernel.kallsyms]     [k] 0xffffffff94f87b66
     0.05%  a.out    [kernel.kallsyms]     [k] 0xffffffff950023ed
     0.05%  a.out    [kernel.kallsyms]     [k] 0xffffffff950035fc
     0.05%  a.out    [kernel.kallsyms]     [k] 0xffffffff94f6b781
     0.05%  a.out    [kernel.kallsyms]     [k] 0xffffffff9503e028
     0.05%  a.out    [kernel.kallsyms]     [k] 0xffffffff96016e1a
     0.05%  a.out    [kernel.kallsyms]     [k] 0xffffffff950173e6
     0.05%  a.out    [kernel.kallsyms]     [k] 0xffffffff94f585ac
     0.05%  a.out    [kernel.kallsyms]     [k] 0xffffffff96006c89
     0.05%  a.out    [kernel.kallsyms]     [k] 0xffffffff94f54e2f
     0.05%  a.out    [kernel.kallsyms]     [k] 0xffffffff950023f4
     0.05%  a.out    [kernel.kallsyms]     [k] 0xffffffff96003581
     0.05%  a.out    [kernel.kallsyms]     [k] 0xffffffff94f6bd4c
     0.05%  a.out    [kernel.kallsyms]     [k] 0xffffffff9518f0e9
     0.05%  a.out    [kernel.kallsyms]     [k] 0xffffffff9602108b
     0.04%  a.out    [kernel.kallsyms]     [k] 0xffffffff94f6b785
     0.04%  a.out    [kernel.kallsyms]     [k] 0xffffffff94f84867
     0.04%  a.out    [kernel.kallsyms]     [k] 0xffffffff960167bb
     0.04%  a.out    [kernel.kallsyms]     [k] 0xffffffff94f66241
